Zipcode,City,Station Latitude,Station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
98503,Lacey,47.044011,-122.822404,Lacey Timberland Library,47.043814969880536,-122.82259232755995,Library
98503,Lacey,47.044011,-122.822404,Shanghái Mongolian Grill,47.043517685313496,-122.82572205366412,Chinese Restaurant
98188,Seattle,47.443377000000005,-122.296229,Hilton,47.4447333,-122.2955164,Hotel
98188,Seattle,47.443377000000005,-122.296229,13 Coins,47.44118973630825,-122.29527215201212,American Restaurant
98188,Seattle,47.443377000000005,-122.296229,Spencer's for Steaks and Chops,47.44454577244386,-122.29513630502323,Steakhouse
98502,Olympia,47.035421,-122.93896200000002,Trader Joe's,47.03311610486101,-122.9381611280814,Grocery Store
98502,Olympia,47.035421,-122.93896200000002,Aya Sushi,47.03445757879871,-122.93674369294955,Sushi Restaurant
98502,Olympia,47.035421,-122.93896200000002,Five Guys,47.03681091400076,-122.93880782373496,Burger Joint
98502,Olympia,47.035421,-122.93896200000002,Haggen Northwest Fresh,47.033982135349085,-122.94117990200903,Supermarket
98502,Olympia,47.035421,-122.93896200000002,Wells Fargo,47.03400810273038,-122.93812282383442,Bank
98502,Olympia,47.035421,-122.93896200000002,Barnes & Noble,47.03325376860455,-122.9379901027369,Bookstore
98502,Olympia,47.035421,-122.93896200000002,Petco,47.03353540797962,-122.9373834022375,Pet Store
98502,Olympia,47.035421,-122.93896200000002,Jimmy John's,47.036858,-122.938776,Sandwich Place
98502,Olympia,47.035421,-122.93896200000002,Starbucks,47.035950367579325,-122.94065784364906,Coffee Shop
98502,Olympia,47.035421,-122.93896200000002,IHOP,47.03522858930917,-122.93706557581692,Breakfast Spot
98502,Olympia,47.035421,-122.93896200000002,Pho Hoa,47.0336744009877,-122.93603754177184,Noodle House
98502,Olympia,47.035421,-122.93896200000002,The Vitamin Shoppe,47.037492,-122.939851,Supplement Shop
98502,Olympia,47.035421,-122.93896200000002,Pier 1 Imports,47.0354129771569,-122.939730137586,Furniture / Home Store
98502,Olympia,47.035421,-122.93896200000002,Half Price Books Outlet,47.0346139,-122.9358791,Bookstore
98502,Olympia,47.035421,-122.93896200000002,Old Navy,47.03546905517578,-122.93804931640625,Clothing Store
98502,Olympia,47.035421,-122.93896200000002,Home Goods,47.036016445810745,-122.93748777617937,Furniture / Home Store
98502,Olympia,47.035421,-122.93896200000002,Taco Bell,47.03793049878067,-122.93993602808739,Fast Food Restaurant
98502,Olympia,47.035421,-122.93896200000002,Mud Bay Coffee Co.,47.03381137581932,-122.93585063744275,Coffee Shop
98502,Olympia,47.035421,-122.93896200000002,Ashley HomeStore,47.036643475142014,-122.93740914069352,Furniture / Home Store
98502,Olympia,47.035421,-122.93896200000002,Walgreens,47.034621363538015,-122.93733573267673,Pharmacy
98502,Olympia,47.035421,-122.93896200000002,Buffalo Wild Wings,47.03286187329637,-122.93979853391642,Wings Joint
98502,Olympia,47.035421,-122.93896200000002,Plato's Closet,47.034694,-122.93633,Clothing Store
98502,Olympia,47.035421,-122.93896200000002,Barnes & Noble Cafe,47.033321945995475,-122.93803824921517,Coffee Shop
98502,Olympia,47.035421,-122.93896200000002,FedEx Office Print & Ship Center,47.0362752,-122.9373758,Shipping Store
98502,Olympia,47.035421,-122.93896200000002,Little Caesars Pizza,47.034694,-122.93633,Pizza Place
98502,Olympia,47.035421,-122.93896200000002,Sonic Drive-In,47.0359205,-122.9408889,Fast Food Restaurant
98502,Olympia,47.035421,-122.93896200000002,McDonald's,47.03328252590241,-122.94027261435986,Fast Food Restaurant
98502,Olympia,47.035421,-122.93896200000002,Pink Coconut,47.034694,-122.93633,Cosmetics Shop
98502,Olympia,47.035421,-122.93896200000002,Zoe Juice Bar,47.034305572509766,-122.93580627441406,Juice Bar
99252,Spokane,47.673347,-117.38893300000001,7-11,47.6742495845839,-117.3895340255261,Food & Drink Shop
99252,Spokane,47.673347,-117.38893300000001,Witter Aquatic Center,47.67086330158048,-117.38977694318217,Pool
99201,Spokane,47.654998,-117.425025,The Davenport Hotel,47.65681000567137,-117.42452105664506,Hotel
99201,Spokane,47.654998,-117.425025,Bing Crosby Theater,47.65696,-117.42538,Concert Hall
99201,Spokane,47.654998,-117.425025,Churchill's Steakhouse,47.65509562064263,-117.42341865533895,Steakhouse
99201,Spokane,47.654998,-117.425025,Brooklyn Deli & Lounge,47.655963696667804,-117.42685706005281,Sandwich Place
99201,Spokane,47.654998,-117.425025,Wild Sage Bistro,47.654554244935575,-117.42549340218785,American Restaurant
99201,Spokane,47.654998,-117.425025,The Gilded Unicorn,47.656301,-117.426892,Speakeasy
99201,Spokane,47.654998,-117.425025,Steel Barrel Taproom,47.655203895138726,-117.42813203438828,Beer Bar
99201,Spokane,47.654998,-117.425025,"The Davenport Tower, Autograph Collection",47.6564462,-117.4233628,Hotel
99201,Spokane,47.654998,-117.425025,Safari Room Fresh Grill And Bar,47.656613461049815,-117.42304461529305,Hotel Bar
99201,Spokane,47.654998,-117.425025,The Peacock Room Lounge,47.6570837,-117.4246659,Lounge
99201,Spokane,47.654998,-117.425025,Cochinito Taqueria,47.657351,-117.423613,Mexican Restaurant
99201,Spokane,47.654998,-117.425025,NUDO,47.6572297459157,-117.42440769411711,Noodle House
99201,Spokane,47.654998,-117.425025,Fire Artisan Pizza,47.65726827296278,-117.42435544526323,Pizza Place
99201,Spokane,47.654998,-117.425025,Martin Woldson Theater at The Fox,47.65679022950566,-117.42715164727562,Concert Hall
99201,Spokane,47.654998,-117.425025,"The Historic Davenport, Autograph Collection",47.6570752,-117.4239668,Hotel
99201,Spokane,47.654998,-117.425025,Brews Bros Lounge,47.65722605169036,-117.42348302206732,Coffee Shop
98004,Bellevue,47.614744,-122.19316200000002,Anchorhead Coffee,47.614914,-122.19396,Coffee Shop
98004,Bellevue,47.614744,-122.19316200000002,Louis Vuitton,47.61653685071151,-122.19278371202614,Boutique
98004,Bellevue,47.614744,-122.19316200000002,El Gaucho,47.61481469519439,-122.19503681634025,Steakhouse
98004,Bellevue,47.614744,-122.19316200000002,Nibbana -  A Thai Cookery,47.613184,-122.193064,Thai Restaurant
98004,Bellevue,47.614744,-122.19316200000002,John Howie Steak,47.61703456375739,-122.19225775312087,Steakhouse
98004,Bellevue,47.614744,-122.19316200000002,Lady M and Royce' Pop-up,47.616532,-122.192551,Dessert Shop
98004,Bellevue,47.614744,-122.19316200000002,Lakeshore Learning Store,47.613556278080075,-122.19260197997342,Toy / Game Store
98004,Bellevue,47.614744,-122.19316200000002,Café Pogacha,47.613294108890905,-122.19520737352221,Café
98004,Bellevue,47.614744,-122.19316200000002,The Shops at The Bravern,47.6165932,-122.1923996,Shopping Mall
98004,Bellevue,47.614744,-122.19316200000002,The Dolar Shop,47.615990755421684,-122.19360705932253,Hotpot Restaurant
98004,Bellevue,47.614744,-122.19316200000002,Caffe Ladro,47.61374274538795,-122.1966825524863,Coffee Shop
98004,Bellevue,47.614744,-122.19316200000002,Gucci at The Shops at The Bravern,47.6163931,-122.192627,Women's Store
98004,Bellevue,47.614744,-122.19316200000002,Trophy Café,47.616167617196275,-122.1933210393579,Cupcake Shop
98004,Bellevue,47.614744,-122.19316200000002,Tory Burch,47.61671664071148,-122.19275001553974,Women's Store
98004,Bellevue,47.614744,-122.19316200000002,Gucci,47.61638,-122.192743,Women's Store
98004,Bellevue,47.614744,-122.19316200000002,Neiman Marcus,47.616684028109425,-122.19303167448834,Department Store
98004,Bellevue,47.614744,-122.19316200000002,Pho Cyclo Cafe,47.61453559636656,-122.19618612204906,Vietnamese Restaurant
98004,Bellevue,47.614744,-122.19316200000002,Meydenbauer Center,47.61589501915103,-122.19158222262207,Convention Center
98004,Bellevue,47.614744,-122.19316200000002,Mariposa at Neiman Marcus,47.61666202706158,-122.19308535621944,American Restaurant
98004,Bellevue,47.614744,-122.19316200000002,Hermès,47.61707474763119,-122.19238358301138,Accessories Store
98004,Bellevue,47.614744,-122.19316200000002,Brooks Brothers,47.616058349609375,-122.19281768798828,Clothing Store
98004,Bellevue,47.614744,-122.19316200000002,Meydenbauer Theatre,47.61559496976003,-122.19204931704998,Theater
98004,Bellevue,47.614744,-122.19316200000002,Fez on Wheels,47.61486921298822,-122.19385398593529,Food Truck
98004,Bellevue,47.614744,-122.19316200000002,David Barton Gym,47.61693863782138,-122.19123957802205,Gym
98004,Bellevue,47.614744,-122.19316200000002,Sushiya,47.613142154417794,-122.1935898316649,Sushi Restaurant
98004,Bellevue,47.614744,-122.19316200000002,Market Fresh,47.61580193739812,-122.19630963421987,Vegetarian / Vegan Restaurant
98004,Bellevue,47.614744,-122.19316200000002,FedEx Services,47.616074411276784,-122.19563333418097,Shipping Store
98004,Bellevue,47.614744,-122.19316200000002,Starbucks,47.61572330334561,-122.1963977053376,Coffee Shop
98004,Bellevue,47.614744,-122.19316200000002,Sushi Kudasai,47.61436915159472,-122.194040467974,Sushi Restaurant
98004,Bellevue,47.614744,-122.19316200000002,City Soups,47.61618481891125,-122.19645239544779,Soup Place
98004,Bellevue,47.614744,-122.19316200000002,Blank Space Cafe,47.615446580814115,-122.19657182693481,Café
98004,Bellevue,47.614744,-122.19316200000002,Subway,47.613570817664794,-122.19300122093716,Sandwich Place
98004,Bellevue,47.614744,-122.19316200000002,Prada,47.61349967894505,-122.19257601401573,Boutique
98004,Bellevue,47.614744,-122.19316200000002,Tat's East Coast Steaks And Subs Truck,47.61260424219909,-122.19144319947036,Food Truck
98004,Bellevue,47.614744,-122.19316200000002,Café Aloe,47.61232,-122.1941,Café
98506,Olympia,47.056888,-122.841752,Mud Bay Coffee,47.05687661950111,-122.8410605671783,Coffee Shop
98506,Olympia,47.056888,-122.841752,Kaiser Permanente Pharmacy,47.05688810154768,-122.8427966889135,Pharmacy
98506,Olympia,47.056888,-122.841752,Group Health Medical Center,47.056954870563025,-122.84198847013631,Doctor's Office
98506,Olympia,47.056888,-122.841752,Antidote Spa And Salon,47.05651092529297,-122.84485626220703,Spa
98505,Olympia,47.071917,-122.976675,Einstein Bros Bagels,47.07304106617812,-122.97529488801956,Bagel Shop
98505,Olympia,47.071917,-122.976675,Greenery,47.07353173449179,-122.97608639585613,College Cafeteria
98505,Olympia,47.071917,-122.976675,Red Square,47.07297164925491,-122.97726631164551,College Quad
98505,Olympia,47.071917,-122.976675,College Recreation Center (CRC),47.073303716973065,-122.97469065858664,College Rec Center
98501,Tumwater,46.984193,-122.90485600000001,Meconi's Italian Subs,46.98296279984131,-122.90445650587671,Sandwich Place
98501,Tumwater,46.984193,-122.90485600000001,Koibito Sushi and Teriyaki,46.98276309356008,-122.90540449194476,Sushi Restaurant
98501,Tumwater,46.984193,-122.90485600000001,Red Wagon,46.9829651624949,-122.90528573170441,Burger Joint
98501,Tumwater,46.984193,-122.90485600000001,7-Eleven,46.9856552795691,-122.907916903499,Convenience Store
98501,Tumwater,46.984193,-122.90485600000001,Infernos Brick Oven Pizza,46.98316505200211,-122.90486996769188,Pizza Place
98501,Tumwater,46.984193,-122.90485600000001,Shell,46.982399980445166,-122.90504736970739,Gas Station
98501,Tumwater,46.984193,-122.90485600000001,Tran's Dynasty,46.982970979222074,-122.9043092159859,Asian Restaurant
98501,Tumwater,46.984193,-122.90485600000001,daybreak deli,46.98301398294861,-122.90523400754964,American Restaurant
98501,Tumwater,46.984193,-122.90485600000001,Coffee Central Cafe,46.98476028442383,-122.90448760986328,Café
98501,Tumwater,46.984193,-122.90485600000001,"Lizzy Boyer, LMP - Holistic Healthcare",46.9827880859375,-122.90353393554688,Massage Studio
98501,Tumwater,46.984193,-122.90485600000001,Pho 111,46.982762034412794,-122.90418087585026,Vietnamese Restaurant
98501,Tumwater,46.984193,-122.90485600000001,Lone Star Salon,46.983462,-122.904088,Spa
98501,Tumwater,46.984193,-122.90485600000001,Old Towne Plaza,46.9827880859375,-122.90353393554688,Plaza
98501,Tumwater,46.984193,-122.90485600000001,Taildragger Coffee,46.98371,-122.90365,Coffee Shop
98501,Tumwater,46.984193,-122.90485600000001,Teriyaki & Wok,46.98384,-122.903466,Japanese Restaurant
98501,Tumwater,46.984193,-122.90485600000001,Lexy's Nail And Spa,46.98329730033087,-122.90408009331706,Cosmetics Shop
98501,Tumwater,46.984193,-122.90485600000001,Limeberry,46.982792219515304,-122.9042072373865,Ice Cream Shop
98501,Tumwater,46.984193,-122.90485600000001,Enjoy Teriyaki & Wok,46.98387043802911,-122.90345367608158,Asian Restaurant
98027,Issaquah,47.545324,-122.0195,The Habit Burger Grill,47.54418551672284,-122.01983459849244,Burger Joint
