zip,total_pop,median
98001,33699,90287
98002,33468,57317
98003,49533,59391
98004,36202,134580
98005,19223,120913
98006,37871,144247
98007,29322,96545
98008,25719,117775
98010,5602,123415
98011,33830,98268
98012,67427,109161
98014,6773,112384
98019,11946,139831
98020,19447,95141
98021,31496,123479
98022,21217,76929
98023,50201,79434
98024,6890,141475
98026,37995,94385
98027,30989,113047
98028,22738,110058
98029,29250,129185
98030,38681,64666
98031,37850,83324
98032,39074,63562
98033,39939,133744
98034,43471,101674
98036,40723,84787
98037,30485,76630
98038,35904,111689
98039,3267,212337
98040,25675,147566
98042,48572,104306
98043,21210,72955
98045,15339,112568
98047,7124,59464
98050,432,139161
98051,4451,87500
98052,70245,135287
98053,21993,145453
98055,24332,76765
98056,35722,85451
98057,12822,57172
98058,43740,92225
98059,38959,105872
98065,15958,144320
98068,444,97625
98070,10291,78966
98072,23939,117704
98074,28775,188900
98075,23996,178697
98077,13452,166400
98087,41083,76863
98092,47824,92376
98101,13492,80389
98102,26023,91466
98103,53163,105177
98104,14522,53407
98105,50434,62582
98106,25940,69110
98107,27534,100178
98108,23639,61547
98109,30384,106393
98110,24486,117990
98112,25474,118305
98115,54109,111569
98116,27338,121208
98117,35645,116871
98118,49181,82216
98119,26322,96768
98121,19494,115323
98122,39305,79609
98125,42981,70744
98126,23646,86983
98133,48650,68994
98134,833,83472
98136,16997,113750
98144,32439,78414
98146,27780,78750
98148,12149,61455
98154,0,61455
98155,35041,94054
98158,0,94054
98164,177,157829
98166,21452,83615
98168,33401,59120
98174,0,59120
98177,20676,123672
98178,27335,80283
98188,25175,60586
98195,48,60586
98198,37966,66906
98199,22720,114551
98201,29792,57179
98203,36065,73840
98204,42364,55978
98205,15394,96233
98207,1684,96233
98208,58162,91574
98220,779,87500
98221,21699,73802
98222,84,96667
98223,44110,88295
98224,214,43750
98225,51697,50184
98226,43892,64235
98229,32801,71918
98230,17604,69529
98232,4395,79394
98233,16379,61330
98235,73,61330
98236,6002,78650
98237,4410,51823
98238,0,51823
98239,7215,66592
98240,3145,72647
98241,1920,44694
98243,589,72279
98244,2725,64763
98245,3826,54219
98247,9792,60273
98248,25391,76684
98249,4399,73615
98250,8107,70613
98251,4108,73274
98252,9697,82121
98253,1794,78661
98255,164,32361
98256,348,62813
98257,4207,64295
98258,33205,96325
98260,5685,72697
98261,2796,60284
98262,903,63819
98263,83,94167
98264,20890,68174
98266,4167,30083
98267,334,30083
98270,51293,83014
98271,29130,79494
98272,30051,91458
98273,31085,62094
98274,17768,79872
98275,21336,108536
98276,727,63462
98277,38553,60658
98278,2176,60658
98279,614,58125
98280,438,53667
98281,1116,43510
98282,17042,80965
98283,342,75149
98284,27106,66548
98286,158,68750
98288,231,46500
98290,36399,99171
98292,22246,84844
98294,7147,75663
98295,2540,55750
98296,30702,137500
98297,48,137500
98303,1181,80078
98304,1070,47384
98305,343,36875
98310,20575,56292
98311,27946,73708
98312,31086,64400
98314,2975,64400
98315,6506,57134
98320,1273,50694
98321,15801,96183
98323,770,80179
98325,1472,48542
98326,807,39688
98327,9435,90298
98328,10767,77196
98329,11493,84565
98330,102,84565
98331,6482,41619
98332,18655,102635
98333,3918,105750
98335,25631,98584
98336,727,55625
98337,7168,51250
98338,28783,81504
98339,3072,60034
98340,2879,70238
98342,1323,69792
98345,430,48319
98346,9964,84148
98349,4588,62385
98350,406,35938
98351,1335,46556
98353,18,46556
98354,7221,73867
98355,842,20532
98356,2010,43173
98357,1560,44464
98358,831,51429
98359,5044,77904
98360,13726,86341
98361,796,39429
98362,24027,50333
98363,14197,57118
98364,88,57118
98365,5029,62500
98366,34908,68653
98367,29826,83571
98368,15868,54436
98370,31278,84409
98371,21866,76729
98372,26422,75005
98373,26344,73133
98374,41613,83644
98375,31955,85417
98376,2053,64048
98377,1785,42520
98380,4049,86333
98381,315,80870
98382,28942,53350
98383,21941,82982
98385,400,85781
98387,49386,75308
98388,6627,82330
98390,10935,66151
98391,52070,103505
98392,3181,68850
98394,1467,71146
98396,761,80938
98402,6208,54579
98403,8130,63507
98404,36243,54406
98405,23626,54043
98406,23354,82111
98407,21439,80196
98408,21101,59207
98409,25903,53328
98416,962,53328
98418,9333,61250
98421,1557,61250
98422,21490,98360
98424,11542,69848
98430,0,69848
98433,19698,44943
98438,584,44943
98439,5488,39219
98443,5571,95868
98444,34456,48998
