station_name,zip,city,latitude,longitude,open_date,nearest_dist1,nearest_dist2,is_far1,is_far2,is_really_far
Pacific Northwest National Laboratory PNNL/SEB #1,99354,Richland,46.351003999999996,-119.28313899999999,2021-01-15,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building T51 2,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building 7000,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building 1101,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building 1101,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building 1100,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building 1100,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/3860 #3,99354,Richland,46.351003999999996,-119.283199,2021-01-15,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - Building T51 2,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/3860 #2,99354,Richland,46.351003999999996,-119.283199,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/SEB #2,99354,Richland,46.351003999999996,-119.28313899999999,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/SEB #1,99354,Richland,46.351003999999996,-119.28313899999999,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/ETB #2,99354,Richland,46.34637,-119.275448,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/ETB #1,99354,Richland,46.34637,-119.275448,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #8,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #7,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #6,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/3860 #1,99354,Richland,46.351003999999996,-119.283199,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #5,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/SEB #2,99354,Richland,46.351003999999996,-119.28313899999999,2021-01-15,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - T-75,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #2 - Workplace,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #2 - Fleet,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #11 - Workplace,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/ETB #2,99354,Richland,46.34637,-119.275448,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/ETB #1,99354,Richland,46.34637,-119.275448,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #9,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #8,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Naval Facilities Engineering Command - Bangor Trident Base - T-75,98315,Silverdale,47.658,-122.712,2019-02-01,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #7,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #5,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #4,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #10,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #1,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/3860 #3,99354,Richland,46.351003999999996,-119.283199,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/3860 #2,99354,Richland,46.351003999999996,-119.283199,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/3860 #1,99354,Richland,46.351003999999996,-119.283199,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #6,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #4,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #9,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #11 - Fleet,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
Pacific Northwest National Laboratory PNNL/EMSL #10,99354,Richland,46.347582,-119.277892,2021-01-15,0.0,0.0,0,0,0
STADIUMPLACE NEW STATION 6,98104,Seattle,47.597556,-122.33276699999999,,0.0002324428152818601,0.00027634238326383636,0,0,0
KING COUNTY DOT SK P&R 1,98033,Kirkland,47.643584000000004,-122.19591299999999,,0.0001991230768386317,0.0003578291347697373,0,0,0
KING COUNTY DOT SK P&R 3,98033,Kirkland,47.643584999999995,-122.19590900000001,,0.0001991230768386317,0.0004249041659662735,0,0,0
KING COUNTY DOT SK P&R 2,98033,Kirkland,47.643578999999995,-122.19591100000001,,0.0003578291347697373,0.0004249041659662735,0,0,0
STADIUMPLACE NEW STATION 5,98104,Seattle,47.597553999999995,-122.332771,,0.0002324428152818601,0.00045470857134180114,0,0,0
STADIUMPLACE NEW STATION 2,98104,Seattle,47.597559999999994,-122.33276699999999,,0.00027634238326383636,0.00045470857134180114,0,0,0
KING COUNTY DOT ISSAQUAH P&R 7,98029,Issaquah,47.545783,-122.018483,,0.000333723004760238,0.00046923252252075766,0,0,0
KING COUNTY DOT ISSAQUAH P&R 3,98029,Issaquah,47.545787,-122.018479,,0.000333723004760238,0.0005371804642524909,0,0,0
KING COUNTY DOT ISSAQUAH P&R 4,98029,Issaquah,47.54578,-122.018474,,0.00046923252252075766,0.0005371804642524909,0,0,0
DAY 1 REDMOND 5,98052,Redmond,47.672441,-122.09466599999999,,0.00039805344566032195,0.0007825375388327268,0,0,0
DAY 1 REINVENT10,98121,Seattle,47.616684,-122.33896999999999,,0.0005279615973467815,0.0008141163805125705,0,0,0
KING COUNTY DOT ISSAQUAH P&R 5,98029,Issaquah,47.545784999999995,-122.018499,,0.0007610571702471926,0.0009456605154115572,0,0,0
DAY 1 REINVENT4,98121,Seattle,47.616690000000006,-122.33898500000001,,0.0008141163805125705,0.0010276747865520534,0,0,0
DAY 1 REINVENT1,98121,Seattle,47.616690000000006,-122.33896299999999,,0.0005279615973467815,0.0010276747865520534,0,0,0
DAY 1 REDMOND 8,98052,Redmond,47.672452,-122.09467,,0.0007825375388327268,0.001058383591026653,0,0,0
DAY 1 REDMOND 2,98052,Redmond,47.672439000000004,-122.09465800000001,,0.00039805344566032195,0.001058383591026653,0,0,0
STADIUMPLACE NEW STATION 8,98104,Seattle,47.597571,-122.332778,,0.0009174598575157749,0.0011567652505069686,0,0,0
DAY 1 NITRO7,98121,Seattle,47.617509999999996,-122.34093,,0.001167793998590321,0.0012470494382476537,0,0,0
INSIGNIA 953 150 151N,98164,Seattle,47.606202,-122.33208,,0.0012044438046129582,0.0013232272021389668,0,0,0
INSIGNIA 953 152 153N,98164,Seattle,47.606211,-122.33205500000001,,0.001262925379351494,0.0013232272021389668,0,0,0
DAY 1 NITRO5,98121,Seattle,47.617509999999996,-122.34095500000001,,0.001167793998590321,0.0013644009607481592,0,0,0
DAY 1 REINVENT8,98121,Seattle,47.616684,-122.339013,,0.0007056193645311466,0.0013720624398673908,0,0,0
INSIGNIA 953 226 227N,98164,Seattle,47.606119,-122.33213500000001,,0.001420170318894385,0.0015208985883282367,0,0,0
King County Housing Authority - Section 8 Office,98188,Tukwila,47.44897,-122.25331000000001,,0.0,0.0015542893916030203,0,0,0
King County Housing Authority - Main Office,98188,Tukwila,47.44897,-122.25331000000001,,0.0,0.0015542893916030203,0,0,0
King County Housing Authority - Andover,98188,Tukwila,47.448978000000004,-122.25334099999999,,0.0015542893916030203,0.0015542893916030203,0,0,0
INSIGNIA 953 192 193N,98164,Seattle,47.606171,-122.33208300000001,,0.0013161624954167513,0.001593737965114997,0,0,0
INSIGNIA 953 146 147N,98164,Seattle,47.606190999999995,-122.3321,,0.0012044438046129582,0.001593737965114997,0,0,0
STADIUMPLACE NEW STATION 3,98104,Seattle,47.597559000000004,-122.332733,,0.0015903051967114997,0.0016022650739295926,0,0,0
INSIGNIA 953 186 187N,98164,Seattle,47.60614,-122.332163,,0.001590077037650832,0.0016255634357710254,0,0,0
INSIGNIA 953 194N,98164,Seattle,47.606182000000004,-122.33206000000001,,0.0013161624954167513,0.0016680244929859536,0,0,0
DAY 1 NITRO4,98121,Seattle,47.617495,-122.340974,,0.0013644009607481592,0.0017600452908453274,0,0,0
DAY 1 NITRO3,98121,Seattle,47.617473,-122.340993,,0.0016945205198999297,0.0017600452908453274,0,0,0
DUAL EV STATION 3,98105,Seattle,47.663920000000005,-122.30027199999999,,0.0012008383476328922,0.001770391105759128,0,0,0
DAY 1 NITRO6,98121,Seattle,47.617528,-122.340928,,0.0012470494382476537,0.0017711785435526187,0,0,0
MADISON MARQUET STATION 2,98101,Seattle,47.612491999999996,-122.33524799999999,,0.00046716229093240113,0.0017805229365530576,0,0,0
INSIGNIA 953 232 233N,98164,Seattle,47.606148,-122.33206499999999,,0.0013947361209189434,0.0017978040618896215,0,0,0
INSIGNIA 953 225N,98164,Seattle,47.606111,-122.332163,,0.001420170318894385,0.0018191246510043456,0,0,0
INSIGNIA 953 185N,98164,Seattle,47.606126,-122.332195,,0.0017806743337982695,0.0018191246510043456,0,0,0
KGIP BELL SOUTH STATION 6,98114,Bellevue,47.612677000000005,-122.18513600000001,,0.0015093461097174007,0.0018705735500331743,0,0,0
KGIP BELL SOUTH STATION 5,98114,Bellevue,47.612704,-122.18513899999999,,0.0001458552976819618,0.0018705735500331743,0,0,0
SOUND TRANSIT ANGLE LAKE #2,98188,Seatac,47.423319,-122.298723,,0.0017967824517856558,0.0018746582159287171,0,0,0
SOUND TRANSIT ANGLE LAKE #3,98198,Seatac,47.423292,-122.29871899999999,,0.0015198366957791657,0.0018746582159287171,0,0,0
Campbell-Nelson Nissan,98026,Edmonds,47.778228999999996,-122.344838,2011-03-15,0.0,0.0018861802364047336,0,0,0
Campbell-Nelson Nissan,98026,Edmonds,47.778228999999996,-122.344838,2011-03-15,0.0,0.0018861802364047336,0,0,0
EDMONDSNISSAN CAMPBELL NORTH,98026,Edmonds,47.778256,-122.34483200000001,,0.0018861802364047336,0.0018861802364047336,0,0,0
KEY CENTER KEY CENTER 5,98004,Bellevue,47.6161,-122.19691999999999,,0.0012631421045484618,0.0018888448025700469,0,0,0
DAY 1 REINVENT3,98121,Seattle,47.616676,-122.338931,,0.0017804228730991898,0.001903778368072024,0,0,0
INSIGNIA 953 143N,98104,Seattle,47.606162,-122.332173,,0.001590077037650832,0.0019253157863300232,0,0,0
INSIGNIA 953 188 189N,98104,Seattle,47.606153000000006,-122.33213400000001,,0.0016255634357710254,0.0019253157863300232,0,0,0
DAY 1 NITRO2,98121,Seattle,47.617453000000005,-122.34101399999999,,0.0016945205198999297,0.00197571206837474,0,0,0
INSIGNIA 953 103 104,98121,Seattle,47.616679,-122.34283700000002,,0.0018886304132462938,0.001975720500776068,0,0,0
KGIP BELL SOUTH STATION 4,98114,Bellevue,47.612706,-122.18513999999999,,0.0001458552976819618,0.0020121830825635847,0,0,0
DAY 1 REINVENT9,98121,Seattle,47.616677,-122.339024,,0.0007056193645311466,0.0020311378690457227,0,0,0
DC CORRIDOR PAC SCI DC2,98109,Seattle,47.619059,-122.35238400000001,,0.0006416307339022887,0.0020564175571296164,0,0,0
INSIGNIA 953 228 229N,98164,Seattle,47.606128999999996,-122.33210600000001,,0.0015208985883282367,0.0021120068663238794,0,0,0
DAY 1 REDMOND 4,98052,Redmond,47.672447,-122.09481399999999,,0.0005086043025710956,0.002126252501382937,0,0,0
DAY 1 REDMOND 6,98052,Redmond,47.672439000000004,-122.09477,,0.0014186488979090564,0.002126252501382937,0,0,0
INSIGNIA 953 144 145N,98104,Seattle,47.606184000000006,-122.33213500000001,,0.0017052738559372733,0.002142166276736523,0,0,0
INSIGNIA 953 234N,98164,Seattle,47.606155,-122.33203700000001,,0.0013947361209189434,0.0021527115704780496,0,0,0
CBRE1 URBAN COM #2,98033,Kirkland,47.67788,-122.199394,,0.0017899380547421859,0.002174977695252319,0,0,0
MADISON MARQUET STATION 5,98101,Seattle,47.612491999999996,-122.33523799999999,,0.00046716229093240113,0.0021875197920977864,0,0,0
MADISON MARQUET STATION 6,98101,Seattle,47.612478,-122.33528000000001,,0.0017805229365530576,0.0021875197920977864,0,0,0
UDR CHARGER 4,98004,Bellevue,47.618696,-122.191787,,0.0019349719023160398,0.0022258412998054007,0,0,0
DUAL EV STATION 5,98105,Seattle,47.663902,-122.30024499999999,,0.001770391105759128,0.002230378606145096,0,0,0
DAY 1 REDMOND 3,98052,Redmond,47.672437,-122.094618,,0.0018716199503949007,0.0022567983827030363,0,0,0
CAPITAL GATEWAY STATION 3,98501,Olympia,47.035858000000005,-122.89473799999999,,0.002225623845820333,0.002276367103606222,0,0,0
INSIGNIA 953 178 179,98121,Seattle,47.61659,-122.342801,,0.0018735692504677258,0.0022782241190192334,0,0,0
INSIGNIA 953 95 96,98121,Seattle,47.616701,-122.34281299999999,,0.0018886304132462938,0.0023092495523591265,0,0,0
CBRE1 URBAN COM #3,98033,Kirkland,47.6779,-122.19943,,0.002174977695252319,0.00235833296576807,0,0,0
DUAL EV STATION 4,98105,Seattle,47.663931,-122.300224,,0.002230378606145096,0.0023655714561967,0,0,0
INSIGNIA 953 134 135,98121,Seattle,47.616676,-122.342772,,0.0022258659371967708,0.002450775534749216,0,0,0
DAY 1 REINVENT5,98121,Seattle,47.616654,-122.33888799999998,,0.0010952206100805907,0.00251886619310308,0,0,0
INSIGNIA 953 140 141,98121,Seattle,47.616616,-122.342831,,0.0022782241190192334,0.002528344824930335,0,0,0
INSIGNIA 953 142 143,98121,Seattle,47.616646,-122.3428,,0.002450775534749216,0.002528344824930335,0,0,0
KOHLS VANCOUVER 2,98684,Vancouver,45.61618,-122.497689,,0.0016052880662268596,0.00254029377110631,0,0,0
INSIGNIA 953 154N,98164,Seattle,47.606215999999996,-122.332029,,0.001262925379351494,0.0025716285616157724,0,0,0
DAY 1 REDMOND 7,98052,Redmond,47.672452,-122.094822,,0.0005086043025710956,0.0025873471660929834,0,0,0
INSIGNIA 953 97 98,98121,Seattle,47.616729,-122.342786,,0.0023092495523591265,0.0025918593722183076,0,0,0
INSIGNIA 953 136 137,98121,Seattle,47.616703,-122.34274599999999,,0.0022258659371967708,0.0025918593722183076,0,0,0
DC CORRIDOR PAC SCI CENTER,98109,Seattle,47.619058,-122.352428,,0.0020564175571296164,0.0026660746220096444,0,0,0
DC CORRIDOR PAC SCI L2,98109,Seattle,47.619056,-122.35237099999999,,0.0006416307339022887,0.0026660746220096444,0,0,0
INSIGNIA 953 EV216,98121,Seattle,47.616571,-122.342673,,0.0015606005119640836,0.0026885232909246307,0,0,0
MADISON MARQUET STATION 7,98101,Seattle,47.612442,-122.335302,,0.0014949207556578597,0.0026910764117274843,0,0,0
DEPT OF ECOLOGY HQ 2,98516,Lacey,47.047793,-122.806523,,0.0024219087359103816,0.002788856935833344,0,0,0
DUAL EV STATION 2,98105,Seattle,47.663934999999995,-122.300285,,0.0012008383476328922,0.002829274094093222,0,0,0
CAPITAL GATEWAY STATION 2,98501,Olympia,47.035865,-122.89469199999999,,0.002225623845820333,0.002837008342706481,0,0,0
