station_name,zip,city,latitude,longitude,open_date,nearest_dist1,nearest_dist2,is_far1,is_far2,is_really_far,nearest_drive1,nearest_drive2
Port of Clarkston,99403,Clarkston,46.425498,-117.04865,,20.830262642190092,21.63140955509492,1,1,1,66.6648025276272,67.7906028532928
Yakima,98901,Yakima,46.677586,-120.47913,,5.067714889704675,5.098610398600589,1,1,1,47.590198224088,51.8958034876944
Connell,99326,Connell,46.659028,-118.861158,,28.987343404124662,28.9958680807108,1,1,1,44.469920646340796,47.9929088936232
Rosalia - E 6th St,99170,Rosalia,47.234673,-117.37006299999999,,26.182546570164675,26.21180106550039,1,1,1,42.7029895247696,43.2808025962104
Ferry County Public Utility District,99166,Republic,48.64698,-118.73754199999999,2016-10-15,32.326607119255755,37.72734921863286,1,1,1,40.2916343399752,52.1814478246568
Kalaloch Lodge,98331,Forks,47.6055171,-124.37155659999999,,22.86221624253666,23.319128792164086,1,1,1,32.7665185192592,33.8562171786696
Adytum Sanctuary - Tesla Destination,98564,Mossyrock,46.544781,-122.51061899999999,2017-09-01,23.582615435758115,24.08792331830513,1,1,1,31.646310534321604,33.9786273034936
Pend Oreille PUD,99156,Newport,48.181765399999996,-117.04349599999999,,25.966552236586985,30.862053252990698,1,1,1,30.9332249543824,36.9329987729768
Lakeside 24 Hour Fuel,98616,Cougar,46.051228,-122.301754,2014-03-06,23.72671321451556,23.9014936122738,1,1,1,28.993987601269602,53.87977956663121
Lake Quinault Lodge,98575,Quinault,47.465555,-123.85073500000001,2018-05-01,23.165658550607628,23.181040944371745,1,1,1,28.803164508206397,28.8470954514808
Town of Concrete - Park and Ride,98237,Concrete,48.537034999999996,-121.75865300000001,2016-11-01,24.656811463842615,25.368879211559122,1,1,1,27.933617662121602,31.382227777721603
Walmart,98674,Woodland,45.92845,-122.76205,,5.79118523388468,5.792121843339855,1,1,1,27.6507694955232,29.028349428187198
Highway 2 Brew Espresso,98858,Waterville,47.649002,-120.070865,2020-08-24,6.814670983792481,12.865801010219023,1,1,1,27.5855255203632,39.3949335728
Lincoln County Museum,99122,Davenport,47.652922,-118.150361,2016-10-01,22.603795380500504,27.517263048035108,1,1,1,27.506487104740803,45.6043580315752
Castle Rock - Cascade Select Market,98611,Castle Rock,46.276121999999994,-122.91016699999999,,9.380179929873623,9.41440897999828,1,1,1,27.416077596304802,30.5902280563984
Sunwest Automotive Engine Inc,99022,Medical Lake,47.571657,-117.681671,2020-04-10,5.574905477463428,5.729739681072345,1,1,1,24.914685725789603,25.492498797230397
Banks Lake Brew and Bistro,99115,Coulee City,47.616684,-119.287843,2015-08-03,18.07115136873818,24.141050733885642,1,1,1,22.873170674473602,29.199661465821602
Kitsap Transit-George’s Corner Park & Ride,98346,Kingston,47.812523999999996,-122.540217,2017-02-01,6.228696116546921,6.306018820121765,1,1,1,22.5934293638352,26.6025162946192
Windermere Camano Island - Tesla Destination,98282,Camano,48.240482,-122.45553999999998,2019-09-30,9.477565746772688,9.51458077683959,1,1,1,22.3927886059384,23.541268980112
Omak Inn,98841,Omak,48.421424,-119.503978,2013-10-04,19.863784373798797,28.705414738072474,1,1,1,22.3172298689912,37.060566278694395
